resnet-50,4,10,16,22447.9,90.409546,91.6,,271.228638,274.8
resnet-50,16,10,16,269.69,88.97252,90.6,,266.91756,271.8
resnet-50,8,10,16,217.56,88.52356,90.1,,265.57068,270.3
resnet-50,2,10,16,26933,88.176956,88.2,,264.530868,264.6
resnet-50,8,10,8,158.13,68.7721,75.6,,206.3163,226.8
resnet-50,4,10,8,164,68.94671,70.5,,206.84013,211.5
resnet-50,2,10,8,22568.5,69.41321,70.2,,208.23963,210.6
resnet-50,8,20,16,206.5,67.43113,69.1,,202.29339,207.3
resnet-50,16,20,16,220,66.820625,68.6,,200.461875,205.8
resnet-50,4,20,16,21771.47,68.34343,68.4,,205.03029,205.2
resnet-50,2,20,16,26413,66.62772,68.1,,199.88316,204.3
resnet-50,8,30,16,215,46.26615,48,,138.79845,144
resnet-50,8,20,8,133.88,41.99053,47.7,,125.97159,143.1
resnet-50,16,30,16,186.56,45.96509,47.7,,137.89527,143.1
resnet-50,4,30,16,21876.1,45.860706,47.5,,137.582118,142.5
resnet-50,4,10,4,98.75,38.735535,46.8,,116.206605,140.4
resnet-50,2,30,16,26263.14,47.085876,46.6,,141.257628,139.8
resnet-50,2,20,8,23046.33,43.051216,44.1,,129.153648,132.3
resnet-50,4,20,8,138,41.996536,43.8,,125.989608,131.4
resnet-50,2,10,4,112.5,39.174736,40.6,,117.524208,121.8
resnet-50,16,50,16,174.63,32.365063,34.2,,97.095189,102.6
resnet-50,4,50,16,21434.9,32.24827,34,,96.74481,102
resnet-50,8,50,16,168.44,32.22906,34,,96.68718,102
resnet-50,8,30,8,122,28.591177,33.6,,85.773531,100.8
resnet-50,4,20,4,88,24.428768,33.3,,73.286304,99.9
resnet-50,2,50,16,26165.29,33.568504,33.1,,100.705512,99.3
resnet-50,4,30,8,115,28.596941,30.4,,85.790823,91.2
resnet-50,2,30,8,23055.71,28.499763,30.2,,85.499289,90.6
resnet-50,2,10,1,60,16.936943,27.6,,70.810829,82.8
resnet-50,2,20,4,92.75,24.818995,26.3,,74.456985,78.9
resnet-50,8,50,8,114.88,20.058842,24.8,,60.176526,74.4
resnet-50,2,20,1,55,11.37032,23.7,,64.11096,71.1
resnet-50,4,30,4,74.25,16.969875,23.6,,60.909625,70.8
resnet-50,2,30,1,50,8.460051,22.7,,45.380153,68.1
resnet-50,2,50,1,52,6.3397593,22.2,,49.0192779,66.6
resnet-50,4,50,8,115.63,20.048386,21.9,,60.145158,65.7
resnet-50,2,50,8,18886.25,19.969658,21,,59.908974,63
resnet-50,4,50,4,72,11.89217,19.2,,35.67651,57.6
resnet-50,2,30,4,87,17.197298,18.8,,51.591894,56.4
resnet-50,2,50,4,79,11.960203,14.7,,35.880609,44.1
